review_id,order_id,store_id,rating,review_text,review_date
1,59,19,3.4,,2023-03-09
2,41,21,3.1,The spring rolls were crunchy and filled with fresh vegetables. The dipping sauce was flavorful.,2023-03-14
3,35,12,3.4,"The mac and cheese was rich and creamy, with a nice golden crust on top.",2023-09-28
4,103,26,3.7,"The steak was cooked to perfection, and the mashed potatoes were creamy and flavorful.",2023-11-20
5,185,13,4.3,The teriyaki chicken was juicy and glazed with a sweet and savory sauce. The rice was fluffy and delicious.,2023-04-19
6,199,6,3.1,,2023-04-22
7,96,21,3.4,The Peking duck was served with thin pancakes and hoisin sauce. The meat was tender and flavorful.,2023-05-06
8,5,18,3.3,"The pasta was cooked al dente, and the garlic bread on the side was buttery and delicious.",2023-03-12
9,30,10,3.7,I loved the mapo tofu! It had just the right amount of spice and went perfectly with rice.,2023-12-01
10,169,22,4.7,,2023-05-13
11,172,23,4.6,"The miso soup was warm and comforting, with just the right amount of saltiness.",2023-06-21
12,19,28,3.6,"The udon noodles were thick and chewy, served in a flavorful broth with slices of beef.",2023-01-20
13,12,23,3.9,"The miso soup was warm and comforting, with just the right amount of saltiness.",2023-05-03
14,90,11,4.3,"The caesar salad was fresh and crisp, with a creamy dressing and plenty of croutons.",2023-10-11
15,111,30,3.9,,2023-12-08
16,119,3,3.1,The seafood pancake was crispy on the outside and packed with squid and shrimp. Great with the dipping sauce.,2023-01-04
17,160,15,3.5,"The galbi was cooked perfectly, and the marinade had a nice balance of sweetness and soy flavor.",2023-03-12
18,36,29,4.8,"The sweet and sour pork was crispy, and the sauce was a perfect balance of sweet and tangy.",2023-03-24
19,137,19,3.7,,2023-10-23
20,60,11,3.3,,2023-10-31
21,52,13,3.7,"The ramen had a rich, savory broth, and the noodles were perfectly cooked. The pork slices were tender.",2023-12-22
22,17,29,4.5,"The sweet and sour pork was crispy, and the sauce was a perfect balance of sweet and tangy.",2023-05-07
23,45,23,3.8,The teriyaki chicken was juicy and glazed with a sweet and savory sauce. The rice was fluffy and delicious.,2023-11-18
24,95,22,3.1,"The miso soup was warm and comforting, with just the right amount of saltiness.",2023-10-05
25,32,12,3.7,"The burger was huge and juicy, with crispy bacon and melted cheese. The fries were hot and crispy.",2023-01-18
26,163,14,3.7,,2023-07-08
27,39,30,3.3,"The mac and cheese was rich and creamy, with a nice golden crust on top.",2023-02-12
28,29,21,4.8,"The hot and sour soup was rich and tangy, with plenty of mushrooms and tofu.",2023-01-21
29,194,17,3.2,"The bento box had a great variety of dishes, including grilled fish and pickled vegetables. Very satisfying!",2023-01-27
30,28,2,4.2,,2023-09-01
31,48,5,3.5,The spring rolls were crunchy and filled with fresh vegetables. The dipping sauce was flavorful.,2023-08-13
32,166,27,3.1,"The mac and cheese was rich and creamy, with a nice golden crust on top.",2023-09-13
33,195,10,3.2,"The hot and sour soup was rich and tangy, with plenty of mushrooms and tofu.",2023-07-18
34,178,19,3.4,The bibimbap was fresh and came with a variety of vegetables. The gochujang sauce added a nice kick.,2023-11-06
35,177,1,3.3,,2023-10-18
36,98,2,3.3,The bibimbap was fresh and came with a variety of vegetables. The gochujang sauce added a nice kick.,2023-11-17
37,175,1,3.6,"The burger was huge and juicy, with crispy bacon and melted cheese. The fries were hot and crispy.",2023-09-14
38,74,22,4.3,,2023-06-26
39,70,15,3.8,"I loved the spicy tteokbokki! The rice cakes were soft, and the sauce was deliciously spicy.",2023-12-16
40,173,17,3.5,"The bento box had a great variety of dishes, including grilled fish and pickled vegetables. Very satisfying!",2023-07-02
41,109,1,3.1,"The pasta was cooked al dente, and the garlic bread on the side was buttery and delicious.",2023-02-15
42,108,17,4.7,,2023-08-02
43,190,18,4.8,"The pasta was cooked al dente, and the garlic bread on the side was buttery and delicious.",2023-05-20
44,15,14,4.5,,2023-09-20
45,57,16,4.5,"The sweet and sour pork was crispy, and the sauce was a perfect balance of sweet and tangy.",2023-03-04
46,20,14,4.7,"The udon noodles were thick and chewy, served in a flavorful broth with slices of beef.",2023-10-04
47,115,11,3.0,"The caesar salad was fresh and crisp, with a creamy dressing and plenty of croutons.",2023-08-29
48,40,8,5.0,,2023-06-05
49,186,1,4.0,"The burger was huge and juicy, with crispy bacon and melted cheese. The fries were hot and crispy.",2023-07-16
50,125,10,4.0,"The sweet and sour pork was crispy, and the sauce was a perfect balance of sweet and tangy.",2023-10-04
